Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,date,home_team,away_team,home_goals,away_goals,result
19/08/23,Empoli,Verona,0,1,A,0,0,D,,10,10,4,4,17,18,2,4,2,2,0,0,2023-08-19,Empoli,Verona,0,1,2
19/08/23,Frosinone,Napoli,1,3,A,1,2,A,,4,19,1,8,14,17,4,6,3,3,0,0,2023-08-19,Frosinone,Napoli,1,3,2
19/08/23,Genoa,Fiorentina,1,4,A,0,3,A,,4,9,2,5,14,13,3,4,2,3,0,0,2023-08-19,Genoa,Fiorentina,1,4,2
19/08/23,Inter,Monza,2,0,H,1,0,H,,22,12,3,2,8,13,8,3,1,1,0,0,2023-08-19,Inter,Monza,2,0,1
20/08/23,Roma,Salernitana,2,2,D,1,1,D,,13,3,3,2,12,9,9,1,0,4,0,0,2023-08-20,Roma,Salernitana,2,2,X
20/08/23,Sassuolo,Atalanta,0,2,A,0,0,D,,11,16,3,6,9,13,7,7,0,0,0,0,2023-08-20,Sassuolo,Atalanta,0,2,2
20/08/23,Lecce,Lazio,2,1,H,0,1,A,,23,10,7,4,12,16,5,2,3,2,0,0,2023-08-20,Lecce,Lazio,2,1,1
20/08/23,Udinese,Juventus,0,3,A,0,3,A,,18,9,5,4,12,10,7,3,1,3,0,0,2023-08-20,Udinese,Juventus,0,3,2
21/08/23,Torino,Cagliari,0,0,D,0,0,D,,11,8,2,2,8,12,8,3,1,1,0,0,2023-08-21,Torino,Cagliari,0,0,X
21/08/23,Bologna,Milan,0,2,A,0,2,A,,17,10,5,6,10,4,3,6,2,2,0,0,2023-08-21,Bologna,Milan,0,2,2
26/08/23,Frosinone,Atalanta,2,1,H,2,0,H,,13,18,5,6,10,10,3,7,1,2,0,0,2023-08-26,Frosinone,Atalanta,2,1,1
26/08/23,Monza,Empoli,2,0,H,1,0,H,,20,18,5,6,14,7,6,5,1,2,0,0,2023-08-26,Monza,Empoli,2,0,1
26/08/23,Milan,Torino,4,1,H,3,1,H,,17,8,7,1,13,16,2,1,2,3,0,0,2023-08-26,Milan,Torino,4,1,1
26/08/23,Verona,Roma,2,1,H,2,0,H,,5,23,3,7,17,12,1,12,1,3,1,0,2023-08-26,Verona,Roma,2,1,1
27/08/23,Fiorentina,Lecce,2,2,D,2,0,H,,9,6,4,2,13,12,3,3,1,3,0,0,2023-08-27,Fiorentina,Lecce,2,2,X
27/08/23,Juventus,Bologna,1,1,D,0,1,A,,14,9,3,4,14,13,5,1,2,1,0,0,2023-08-27,Juventus,Bologna,1,1,X
27/08/23,Lazio,Genoa,0,1,A,0,1,A,,16,5,2,3,9,16,15,1,4,2,0,0,2023-08-27,Lazio,Genoa,0,1,2
27/08/23,Napoli,Sassuolo,2,0,H,1,0,H,,25,6,5,1,9,10,12,4,0,1,0,1,2023-08-27,Napoli,Sassuolo,2,0,1
28/08/23,Salernitana,Udinese,1,1,D,0,0,D,,9,14,4,6,12,19,7,5,4,4,0,0,2023-08-28,Salernitana,Udinese,1,1,X
28/08/23,Cagliari,Inter,0,2,A,0,2,A,,12,17,2,3,9,10,4,7,1,1,0,0,2023-08-28,Cagliari,Inter,0,2,2
01/09/23,Sassuolo,Verona,3,1,H,1,0,H,,16,11,7,3,8,13,10,1,1,3,0,0,2023-09-01,Sassuolo,Verona,3,1,1
01/09/23,Roma,Milan,1,2,A,0,1,A,,13,9,2,4,14,15,3,5,2,4,0,1,2023-09-01,Roma,Milan,1,2,2
02/09/23,Bologna,Cagliari,2,1,H,0,1,A,,16,7,7,1,9,13,5,2,1,2,0,0,2023-09-02,Bologna,Cagliari,2,1,1
02/09/23,Udinese,Frosinone,0,0,D,0,0,D,,12,12,6,2,14,9,3,5,2,2,0,0,2023-09-02,Udinese,Frosinone,0,0,X
02/09/23,Atalanta,Monza,3,0,H,2,0,H,,18,8,8,2,11,9,7,3,0,3,0,0,2023-09-02,Atalanta,Monza,3,0,1
02/09/23,Napoli,Lazio,1,2,A,1,1,D,,22,6,4,2,8,9,7,2,1,2,0,0,2023-09-02,Napoli,Lazio,1,2,2
03/09/23,Inter,Fiorentina,4,0,H,1,0,H,,21,6,11,2,13,12,1,1,1,1,0,0,2023-09-03,Inter,Fiorentina,4,0,1
03/09/23,Torino,Genoa,1,0,H,0,0,D,,10,7,3,2,13,7,4,0,2,5,0,0,2023-09-03,Torino,Genoa,1,0,1
03/09/23,Empoli,Juventus,0,2,A,0,1,A,,7,18,0,5,14,13,3,7,3,3,0,0,2023-09-03,Empoli,Juventus,0,2,2
03/09/23,Lecce,Salernitana,2,0,H,1,0,H,,20,11,6,4,17,15,6,5,3,3,0,0,2023-09-03,Lecce,Salernitana,2,0,1
